ID,Scrape ID,Last Scraped,Experiences Offered,Host ID,Host Response Time,Host Response Rate,Host Acceptance Rate,Host Listings Count,Host Total Listings Count,Host Verifications,Neighbourhood Cleansed,Neighbourhood Group Cleansed,City,State,Zipcode,Country Code,Latitude,Longitude,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Square Feet,Price,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Calendar Updated,Has Availability,Availability 30,Availability 60,Availability 90,Availability 365,Calendar last Scraped,Number of Reviews,First Review,Last Review,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Cancellation Policy,Calculated host listings count,Reviews per Month
4008728,20170402075052,2017-04-02,none,20786453,within a day,50.0,,1,1,"email,phone,facebook,reviews,jumio",De Baarsjes - Oud-West,,Amsterdam,North Holland,1054 AA,NL,52.36523660409065,4.878249575101092,Apartment,Entire home/apt,6,1.0,3,3,Real Bed,,600,,6000.0,500.0,50.0,4,50,2,1125,3 weeks ago,,14,44,74,74,2017-04-02,31,2015-08-02,2016-11-27,89.0,9.0,8.0,9.0,10.0,10.0,9.0,strict,1,1.52
7778612,20170402075052,2017-04-02,none,11964927,within a few hours,100.0,,1,1,"email,phone,reviews,jumio,work_email",De Baarsjes - Oud-West,,Amsterdam,Noord-Holland,1053,NL,52.36730903089752,4.873840741069992,Apartment,Entire home/apt,4,1.0,2,2,Real Bed,,175,,4000.0,400.0,40.0,2,30,2,1125,5 weeks ago,,0,0,0,259,2017-04-02,15,2015-09-28,2017-01-19,99.0,9.0,9.0,9.0,10.0,10.0,9.0,strict,1,0.81
8264596,20170402075052,2017-04-02,none,23669273,,,,1,1,"email,phone,facebook,reviews,jumio",De Baarsjes - Oud-West,,Amsterdam,Noord-Holland,1054,NL,52.361943953804776,4.866686522141489,Apartment,Entire home/apt,4,1.0,2,2,Real Bed,,125,600.0,,,,1,0,4,1125,10 months ago,,0,0,0,0,2017-04-02,1,2015-09-22,2015-09-22,100.0,10.0,10.0,10.0,10.0,10.0,10.0,flexible,1,0.05
2180729,20170402075052,2017-04-02,none,9238680,within a day,100.0,,1,1,"email,phone,reviews,jumio",De Baarsjes - Oud-West,,Amsterdam,Noord-Holland,1052 RT,NL,52.37014616115532,4.866281767968382,Apartment,Entire home/apt,4,1.0,2,4,Real Bed,,130,,,100.0,45.0,2,25,3,30,3 weeks ago,,0,0,0,0,2017-04-02,22,2014-05-12,2016-07-19,97.0,10.0,9.0,10.0,9.0,9.0,9.0,flexible,1,0.62
14463171,20170402075052,2017-04-02,none,89112644,within a day,100.0,,1,1,"email,phone,reviews",De Baarsjes - Oud-West,,Amsterdam,Noord-Holland,1053,NL,52.368817829014425,4.871249476925455,Apartment,Entire home/apt,2,1.0,0,1,Real Bed,,80,,,100.0,25.0,1,0,2,1125,4 days ago,,2,21,51,326,2017-04-02,16,2016-08-11,2017-03-06,78.0,8.0,8.0,8.0,8.0,9.0,9.0,moderate,1,2.04
13932749,20170402075052,2017-04-02,none,59269534,within a day,100.0,,1,1,"email,phone,facebook,reviews,jumio,government_id",De Baarsjes - Oud-West,,Amsterdam,NH,1057 HK,NL,52.36949764400226,4.859321434670662,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,,150,,,,15.0,1,0,1,1125,yesterday,,7,37,67,342,2017-04-02,13,2016-07-16,2017-03-26,97.0,10.0,10.0,10.0,10.0,9.0,10.0,strict,1,1.49
1838958,20170402075052,2017-04-02,none,34080,within an hour,100.0,,1,1,"email,phone,facebook,reviews,jumio,work_email",De Baarsjes - Oud-West,,Amsterdam,North Holland,1053,NL,52.3623168100134,4.862255203037278,Apartment,Entire home/apt,3,1.5,2,2,Real Bed,,144,850.0,,150.0,40.0,2,0,3,1125,5 days ago,,2,8,31,123,2017-04-02,6,2016-04-10,2017-01-01,97.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,1,0.5
7969792,20170402075052,2017-04-02,none,7004701,within a few hours,100.0,,1,1,"email,phone,reviews",De Baarsjes - Oud-West,,Amsterdam,NH,1057,NL,52.36886831374186,4.856909709702364,Apartment,Private room,2,1.0,1,1,Pull-out Sofa,,75,,,,10.0,1,0,3,4,a week ago,,1,2,32,32,2017-04-02,21,2015-09-09,2017-03-26,100.0,10.0,10.0,10.0,10.0,10.0,10.0,moderate,1,1.1
14434300,20170402075052,2017-04-02,none,5993905,within a day,60.0,,2,2,"email,phone,facebook,reviews,jumio",De Baarsjes - Oud-West,,Amsterdam,Noord-Holland,1056,NL,52.371987491555785,4.851725019443999,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,,59,,,,20.0,1,0,5,1125,6 weeks ago,,0,0,0,0,2017-04-02,1,2016-08-29,2016-08-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,flexible,2,0.14
10590761,20170402075052,2017-04-02,none,12051003,within a day,92.0,,1,1,"email,phone,reviews,jumio",De Baarsjes - Oud-West,,Amsterdam,Noord-Holland,1058AW,NL,52.35964575057635,4.853570651318476,House,Entire home/apt,6,2.0,4,4,Real Bed,,200,800.0,3000.0,500.0,48.0,1,25,2,1125,2 weeks ago,,1,6,6,175,2017-04-02,12,2016-01-17,2017-01-04,92.0,10.0,10.0,10.0,10.0,9.0,9.0,strict,1,0.81
