id;year;hotel;price;score;avg_review;reviews_count
300;2023;Hotel Des Deux Continents; 260;8.1;Tres bien;1
301;2023;Hotel Mirabeau Eiffel; 138;7.1;Bien ;1
302;2023;Garden-Elysee; 269;8.6;Superbe;1
303;2023;Novotel Paris Centre Tour Eiffel; 192;7.4;Bien ;6
304;2023;STAY IN THE HEART OF PARIS; 185;"10
";Exceptionnel;3
305;2023;Hotel de la Motte Picquet; 184;8.6;Superbe;909
306;2023;Hotel Charing Cross; 154;8;Tres bien;2
307;2023;Hotel Korner Montparnasse; 145;7.9;Bien ;1
308;2023;Hotel Lutetia; 1595;9.2;Fabuleux ;243
309;2023;HOTEL ALISON; 225;8.4;Tres bien;877
310;2023;Chatillon Paris Montparnasse; 145;8.1;Tres bien;1
311;2023;Hotel Panache; 173;8.5;Tres bien;560
312;2023;Hotel d'Angleterre; 286;8.5;Tres bien;953
313;2023;Hotel Sanso by HappyCulture; 150;8.6;Superbe;3
314;2023;Handsome Hotel; 177;8.3;Tres bien;1
315;2023;Paris Square; 290;8.9;Superbe;397
316;2023;Hotel Bel Oranger Gare de Lyon; 170;7.9;Bien ;1
317;2023;Tinah Paris, Aboukir; 225;8.3;Tres bien;385
318;2023;NH Paris Gare de l'Est; 158;7.7;Bien ;6
319;2023;Welcome Hotel; 243;8.3;Tres bien;1
320;2023;Regence Etoile; 336;8.5;Tres bien;1
321;2023;Generator Paris; 129;7.3;Bien ;11
322;2023;Modern Hotel; 105;6.6;Note;2
323;2023;Hotel Elysee Secret; 186;8.7;Superbe;86
324;2023;Hotel Opera d'Antin; 150;7.8;Bien ;1
325;2023;Hotel d'Orsay Esprit de France; 263;8.9;Superbe;913
326;2023;Superbe studio Vue sur la Tour Eiffel; 155;N/A;N/A;N/A
327;2023;New Hotel Lafayette; 165;7.9;Bien ;1
328;2023;Source Hotel; 120;8.2;Tres bien;1
329;2023;Moxy Paris Bastille; 153;8;Tres bien;1
330;2023;Maison Urbaine; 140;8.7;Superbe;90
331;2023;Hotel Miramar; 175;8;Tres bien;2
332;2023;Grand Hotel Dore; 210;8.2;Tres bien;1
333;2023;Hotel Exquis; 146;8.5;Tres bien;1
334;2023;Academie Hotel Saint Germain; 263;8.7;Superbe;1
335;2023;Hotel Terre Neuve; 144;8.3;Tres bien;452
336;2023;Hotel De La Poste; 71;6;Note;3
337;2023;Hotel 29 Lepic; 198;8.1;Tres bien;2
338;2023;Hotel Dame des Arts; 405;8.7;Superbe;502
339;2023;Odeon Hotel by Malone; 194;8.4;Tres bien;1
340;2023;La Maison Montparnasse; 138;8.5;Tres bien;223
341;2023;Le Grey Hotel; 340;8.6;Superbe;1
342;2023;Hotel Vacances Bleues Villa Modigliani; 153;7.9;Bien ;3
343;2023;Le 7 Eiffel Hotel by Malone; 192;8.2;Tres bien;1
344;2023;Little Hotel; 137;8;Tres bien;1
345;2023;Best Western Plus La Demeure; 156;8.2;Tres bien;1
346;2023;Hotel Le Fabe; 147;8.5;Tres bien;2
347;2023;Hotel La Canopee; 195;8.9;Superbe;1
348;2023;Hotel Touraine Opera; 194;8.9;Superbe;2
349;2023;Hotel Trianon Rive Gauche; 361;8;Tres bien;4
350;2023;Hotel Mogador; 155;8.4;Tres bien;1
351;2023;Hotel Splendid; 144;7.9;Bien ;1
352;2023;Arian Hotel; 132;7.6;Bien ;1
353;2023;Maison Cassandre; 177;9.2;Fabuleux ;63
354;2023;Juliana Hotel Paris; 539;8.6;Superbe;576
355;2023;La Dependance; 328;8.9;Superbe;295
356;2023;Hotel Restaurant Au Boeuf Couronne; 150;8.3;Tres bien;2
357;2023;ibis styles Paris Montmartre Batignolles; 153;7.9;Bien ;1
358;2023;Casao; 229;8.3;Tres bien;303
359;2023;Hotel Mansart Esprit de France; 291;8.4;Tres bien;747
360;2023;Mercure Paris Place d'Italie; 161;7.8;Bien ;762
361;2023;My Home For You Luxury B&B; 298;9.1;Fabuleux ;592
362;2023;Hotel des 3 Colleges; 151;8.1;Tres bien;1
363;2023;Hotel Vinci Due & Spa; 275;8.7;Superbe;890
364;2023;ibis Paris Avenue de la Republique; 119;7.9;Bien ;799
365;2023;Hotel Le Richemont; 114;8;Tres bien;2
366;2023;9Hotel Bastille-Lyon; 149;8;Tres bien;2
